pfam_accession	pfam_id	description
PF11057.14	Cortexin	Cortexin of kidney
PF18568.7	COS	TRIM C-terminal subgroup One Signature domain
PF14705.13	Costars	Costars
PF10628.15	CotE	Outer spore coat protein E (CotE)
PF08757.18	CotH	CotH kinase protein
PF11007.14	CotJA	Spore coat associated protein JA (CotJA)
PF12652.13	CotJB	CotJB protein
PF13657.12	Couple_hipA	HipA N-terminal domain
PF22610.2	CovS-like_HAMP	Histidine kinase, HAMP domain
PF02723.21	CoV_E	Coronavirus small envelope protein E
PF06471.20	CoV_ExoN	Coronavirus proofreading exoribonuclease
PF01635.25	CoV_M	Coronavirus M matrix/glycoprotein
PF06460.19	CoV_Methyltr_2	Coronavirus 2'-O-methyltransferase
PF09401.17	CoV_NSP10	Coronavirus RNA synthesis protein NSP10
PF20631.4	CoV_NSP13_1B	Coronavirus Nonstructural protein 13, 1B domain
PF20633.3	CoV_NSP13_stalk	Coronavirus Nonstructural protein 13, stalk domain
PF20632.3	CoV_NSP13_ZBD	Coronavirus Non-structural protein 13, zinc-binding domain
PF19215.6	CoV_NSP15_C	Coronavirus replicase NSP15, uridylate-specific endoribonuclease
PF19216.6	CoV_NSP15_M	Coronavirus replicase NSP15, middle domain
PF19219.6	CoV_NSP15_N	Coronavirus replicase NSP15, N-terminal oligomerisation
PF19212.6	CoV_NSP2_C	Coronavirus replicase NSP2, C-terminal
PF19211.6	CoV_NSP2_N	Coronavirus replicase NSP2, N-terminal
PF19218.6	CoV_NSP3_C	Coronavirus replicase NSP3, C-terminal
PF16348.11	CoV_NSP4_C	Coronavirus replicase NSP4, C-terminal
PF19217.6	CoV_NSP4_N	Coronavirus replicase NSP4, N-terminal
PF19213.6	CoV_NSP6	Coronavirus replicase NSP6
PF08716.17	CoV_NSP7	Coronavirus replicase NSP7
PF08717.17	CoV_NSP8	Coronavirus replicase NSP8
PF08710.18	CoV_NSP9	Coronavirus replicase NSP9
PF00937.24	CoV_nucleocap	Coronavirus nucleocapsid
PF08715.17	CoV_peptidase	Coronavirus papain-like peptidase
PF06478.20	CoV_RPol_N	Coronavirus RNA-dependent RNA polymerase, N-terminal
PF01600.22	CoV_S1	Coronavirus spike glycoprotein S1
PF19209.6	CoV_S1_C	Coronavirus spike glycoprotein S1, C-terminal
PF01601.22	CoV_S2	Coronavirus spike glycoprotein S2
PF19214.6	CoV_S2_C	Coronavirus spike glycoprotein S2, intravirion
PF20543.4	CowN	N2-fixation sustaining protein CowN
PF00115.26	COX1	Cytochrome C and Quinol oxidase polypeptide I
PF14880.12	COX14	Cytochrome oxidase c assembly
PF02628.21	COX15-CtaA	Cytochrome oxidase assembly protein
PF14138.12	COX16	Cytochrome c oxidase assembly protein COX16
PF05051.19	COX17	Cytochrome C oxidase copper chaperone (COX17)
PF00116.27	COX2	Cytochrome C oxidase subunit II, periplasmic domain
PF09125.16	COX2-transmemb	Cytochrome C oxidase subunit II, transmembrane
PF12597.14	Cox20	Cytochrome c oxidase assembly protein COX20
PF08213.17	COX24_C	Mitochondrial mRNA-processing protein COX24, C-terminal
PF02790.21	COX2_TM	Cytochrome C oxidase subunit II, transmembrane domain
PF00510.24	COX3	Cytochrome c oxidase subunit III
PF02936.20	COX4	Cytochrome c oxidase subunit IV
PF03626.20	COX4_pro	Prokaryotic Cytochrome C oxidase subunit IV 
PF07835.18	COX4_pro_2	Bacterial aa3 type cytochrome c oxidase subunit IV
PF02284.22	COX5A	Cytochrome c oxidase subunit Va
PF01215.25	COX5B	Cytochrome c oxidase subunit Vb
PF02046.21	COX6A	Cytochrome c oxidase subunit VIa
PF02297.23	COX6B	Cytochrome oxidase c subunit VIb
PF02937.21	COX6C	Cytochrome c oxidase subunit VIc
PF02238.21	COX7a	Cytochrome c oxidase subunit VII
PF05392.17	COX7B	Cytochrome C oxidase chain VIIB
PF02935.22	COX7C	Cytochrome c oxidase subunit VIIc
PF02285.21	COX8	Cytochrome oxidase c subunit VIII
PF06240.20	COXG	Carbon monoxide dehydrogenase subunit G (CoxG)
PF08113.17	CoxIIa	Cytochrome c oxidase subunit IIa family
PF06481.21	COX_ARM	COX Aromatic Rich Motif
PF12557.14	Co_AT_N	Cob(I)alamin adenosyltransferase N terminal 
PF03450.23	CO_deh_flav_C	CO dehydrogenase flavoprotein C-terminal domain
PF02552.23	CO_dh	CO dehydrogenase beta subunit/acetyl-CoA synthase epsilon subunit
PF02672.21	CP12	CP12 domain
PF04516.21	CP2	CP2 transcription factor
PF01383.28	CpcD	CpcD/allophycocyanin linker domain
PF17223.9	CPCFC	Cuticle protein CPCFC
PF28213.1	CPC_1213	CPC_1213-like
PF07823.18	CPDase	Cyclic phosphodiesterase-like protein
PF09367.17	CpeS	CpeS-like protein
PF06206.18	CpeT	CpeT/CpcT family (DUF1001)
PF22222.2	Cpf1_PI-like	CRISPR-associated endonuclease Cpf1 PI domain
PF15481.13	CPG4	Chondroitin proteoglycan 4
PF27272.1	CpgS_N	Cyclic 2,3-diphosphoglycerate synthetase, N-terminal domain
PF12269.14	CpG_bind_C	CpG binding protein C-terminal domain
PF08144.18	CPL	CPL (NUC119) domain
PF21671.3	CPL1-like	Protein CPL1-like
PF18695.8	cPLA2_C2	Cytosolic phospholipases A2 C2-domain
PF00166.27	Cpn10	Chaperonin 10 Kd subunit
PF00118.30	Cpn60_TCP1	TCP-1/cpn60 chaperonin family
PF11833.14	CPP1-like	Protein CHAPERONE-LIKE PROTEIN OF POR1-like 
PF25860.1	CPPA	Cryptic plasmid protein A
PF14507.13	CppA_C	CppA C-terminal
PF14506.13	CppA_N	CppA N-terminal
PF28583.1	CPR5_C	Protein CPR-5 C-terminal domain
PF25596.2	CPSase_L_D1	Carbamoyl phosphate synthase preATP-grasp domain
PF02786.23	CPSase_L_D2	Carbamoyl-phosphate synthase L chain, ATP binding domain
PF02787.26	CPSase_L_D3	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
PF00988.29	CPSase_sm_chain	Carbamoyl-phosphate synthase small chain, CPSase domain
PF19567.6	CpsB_CapC	Capsular polysaccharide synthesis, CpsB/CapC
PF13299.12	CPSF100_C	Cleavage and polyadenylation factor 2 C-terminal
PF20692.4	cpSF2-GREB1	Circularly permuted SF2 helicase found in GREB1 proteins
PF11718.14	CPSF73-100_C	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
PF03178.22	CPSF_A	CPSF A subunit region
PF07931.19	CPT	Chloramphenicol phosphotransferase-like protein
PF07254.18	Cpta_toxin	Membrane-bound toxin component of toxin-antitoxin system
PF16484.11	CPT_N	Carnitine O-palmitoyltransferase N-terminus
PF17515.8	CPV_Polyhedrin	Cypovirus polyhedrin
PF22213.2	CPV_RdRP_C	CPV, RNA-directed RNA polymerase, C-terminal
PF22209.2	CPV_RdRP_N	CPV, RNA-directed RNA polymerase, N-terminal
PF22212.2	CPV_RdRP_pol_dom	CPV, RNA-directed RNA polymerase, central polymerase domain
PF09717.16	CPW_WPC	Plasmodium falciparum domain of unknown function (CPW_WPC)
PF16527.12	CpxA_peri	Two-component sensor protein CpxA, periplasmic domain
PF14353.13	CpXC	CpXC protein
PF19769.5	CPxCG_zf	CPxCG-related zinc finger
PF12694.13	cpYpsA	Circularly permutated YpsA SLOG family
PF04174.19	CP_ATPgrasp_1	A circularly permuted ATPgrasp 
PF14403.12	CP_ATPgrasp_2	Circularly permuted ATP-grasp type 2 
PF22325.3	CR4_N	Interferon-gamma receptor, N-terminal domain
PF10147.15	CR6_interact	Growth arrest and DNA-damage-inducible proteins-interacting protein 1
PF06589.17	CRA	Circumsporozoite-related antigen (CRA)
PF00650.26	CRAL_TRIO	CRAL/TRIO domain
PF13716.12	CRAL_TRIO_2	Divergent CRAL/TRIO domain
PF03765.22	CRAL_TRIO_N	CRAL/TRIO, N-terminal domain
PF27753.1	Cramped_PI3K_like	Cramped PI3K-like domain
PF07016.17	CRAM_rpt	Cysteine-rich acidic integral membrane protein precursor
PF22487.2	CRASP-2	Complement regulator-acquiring surface protein 2
PF25650.2	crAss_AuxCP	Bacteriophage crAss001 auxiliary capsid protein
PF23898.2	Crass_capsid	Crassvirus major capsid protein
PF25725.2	crAss_CARG1	Crassvirus cargo protein 1 domain
PF25712.2	crAss_CARGO2	Crassvirus Cargo protein 2
PF25731.2	crAss_MUZ	Crassvirus muzzle protein
PF25729.2	crAss_MUZ_C	Crassvirus muzzle protein C-terminal domain
PF25709.2	crAss_PVA	Portal vertex auxiliary protein
PF24228.2	CrAss_Ring_1	Phage tail ring protein 1
PF25702.2	CrAss_Ring_2	Phage tail ring protein 2
PF25710.2	CrAss_Ring_3_4	Phage tail ring protein 3/4
PF25724.2	crAss_THA	Crassvirus tail hub protein A
PF25711.2	crAss_THB	Crassvirus tail hub protein B
PF07046.17	CRA_rpt	Cytoplasmic repetitive antigen (CRA) like repeat
PF22395.3	Crb2-like_BRCT-like	Crb2-like, BRCT-like domain
PF22520.3	Crb2_Tudor	Crb2, Tudor domain
PF02537.22	CRCB	CrcB-like protein, Camphor Resistance (CrcB)
PF08624.16	CRC_subunit	Chromatin remodelling complex Rsc7/Swp82 subunit
PF05981.18	CreA	CreA protein
PF01321.25	Creatinase_N	Creatinase/Prolidase N-terminal domain
PF16189.12	Creatinase_N_2	Creatinase/Prolidase N-terminal domain
PF02633.20	Creatininase	Creatinine amidohydrolase
PF09030.16	Creb_binding	Creb binding
PF20274.5	cREC_REC	Cyclic-phosphate processing Receiver domain
PF06123.18	CreD	Inner membrane protein CreD
PF13883.14	CREG_beta-barrel	CREG, beta-barrel
PF11520.15	Cren7	Chromatin protein Cren7
PF16566.11	CREPT	Cell-cycle alteration and expression-elevated protein in tumour
PF10472.15	CReP_N	eIF2-alpha phosphatase phosphorylation constitutive repressor
PF25217.2	CreS_N	Crescentin, N-terminal segment
PF00473.23	CRF	Corticotropin-releasing factor family
PF23541.2	CRF-BP_C	Corticotropin-releasing factor binding protein C-terminal domain
PF05428.18	CRF-BP_N	Corticotropin-releasing factor binding protein N-terminal domain
PF10380.15	CRF1	Transcription factor CRF1
PF06781.18	CrgA	Cell division protein CrgA
PF10534.15	CRIC_ras_sig	Connector enhancer of kinase suppressor of ras
PF16978.12	CRIM	SAPK-interacting protein 1 (Sin1), middle CRIM domain
PF19442.5	CRIM1_C	Cysteine-rich motor neuron 1 protein C-terminal
PF07416.16	Crinivirus_P26	Crinivirus P26 protein
PF20147.6	Crinkler	Crinkler effector protein N-terminal domain
PF10235.15	Cript	Microtubule-associated protein CRIPT
PF08562.16	Crisp	Crisp
PF27788.1	CRISPR-assoc_Cas5p	CRISPR-associated protein Cas5p
PF27787.1	CRISPR-assoc_Csp2	CRISPR-associated protein Csp2
PF27799.1	CRISPR-assoc_Csx19	CRISPR-associated protein Csx19
PF27795.1	CRISPR-assoc_prot_CsaX	CRISPR-associated protein, CsaX
PF08798.17	CRISPR_assoc	CRISPR associated protein
PF09827.15	CRISPR_Cas2	CRISPR associated protein Cas2
PF10040.15	CRISPR_Cas6	CRISPR-associated endoribonuclease Cas6
PF19308.5	CRISPR_Cas6_N	CRISPR Cas6 N-terminal domain
PF18061.7	CRISPR_Cas9_WED	CRISPR-Cas9 WED domain
PF09481.16	CRISPR_Cse1	CRISPR-associated protein Cse1 (CRISPR_cse1)
PF09485.16	CRISPR_Cse2	CRISPR-associated protein Cse2 (CRISPR_cse2)
PF07417.18	Crl	Sigma factor-binding transcriptional regulator Crl
PF21605.4	CRLF2-like_D2	Cytokine receptor-like factor 2-like, D2 domain
PF21604.4	CRLF2_D1	Cytokine receptor-like factor 2-like, D1 domain
PF27985.1	CRLF3_C	CRLF3 C-terminal domain
PF27984.1	CRLF3_N	CRLF3 N-terminal coiled-coil domain
PF08767.18	CRM1_C	CRM1 C terminal
PF18777.8	CRM1_repeat	Chromosome region maintenance or exportin repeat
PF18784.7	CRM1_repeat_2	CRM1 / Exportin repeat 2
PF18787.8	CRM1_repeat_3	CRM1 / Exportin repeat 3
PF07190.17	CrmD_SECRET	Tumour necrosis factor receptor, SECRET domain
PF09048.18	Cro	Cro
PF17691.7	Croc_4	Contingent replication of cDNA 4 
PF00325.27	Crp	Bacterial regulatory proteins, crp family
PF05745.17	CRPA	Chlamydia 15 kDa cysteine-rich outer membrane protein (CRPA)
PF08762.17	CRPV_capsid	CRPV capsid protein like
PF11347.15	CRR42-like	Protein CHLORORESPIRATORY REDUCTION 42-like
PF08847.17	Crr6	Chlororespiratory reduction 6
PF12095.14	CRR7	Protein CHLORORESPIRATORY REDUCTION 7 
PF01985.27	CRS1_YhbY	CRS1 / YhbY (CRM) domain
PF08627.17	CRT-like	CRT-like, chloroquine-resistance transporter-like
PF08728.16	CRT10	CRT10
PF07143.18	CrtC	CrtC N-terminal lipocalin domain
PF27123.1	CrtC_C	Carotenoid hydratase CrtC C-terminal domain
PF18927.6	CrtO	Glycosyl-4,4'-diaponeurosporenoate acyltransferase
PF01147.23	Crust_neurohorm	Crustacean CHH/MIH/GIH neurohormone family
PF03858.19	Crust_neuro_H	Crustacean neurohormone H
PF27881.1	CRWN_N	CROWDED NUCLEI 2, N-terminal domain
PF17997.8	Cry1Ac_D5	Insecticidal delta-endotoxin CryIA(c) domain 5
PF21463.5	Cry1Ac_dom-VII	Cry1Ac, domain VII
PF07029.17	CryBP1	CryBP1 protein
PF12546.14	Cryptochrome_C	Blue/Ultraviolet sensing protein C terminal
PF25640.2	Crypto_dsRNA_S	Cryptosporidium parvum virus small dsRNA capsid protein
PF00030.25	Crystall	Beta/Gamma crystallin
PF00525.24	Crystallin	Alpha crystallin A chain, N terminal
PF09076.16	Crystall_2	Beta/Gamma crystallin
PF08964.16	Crystall_3	Beta/Gamma crystallin
PF17945.7	Crystall_4	Beta/Gamma crystallin
PF22812.1	CR_prot_dom_plant	Plant cysteine-rich protein domain
PF04969.23	CS	CS domain
PF06023.19	Csa1	CRISPR-associated exonuclease Csa1
PF22662.4	Csa3_N	Csa3 CRISPR-associated Rossmann-like domain
PF21681.3	Csa5_I-A	Type-I-A Cascade subunit Csa5
PF22512.1	Csa_translocation_dom	Colicin S4 translocation domain
PF05532.18	CsbD	CsbD-like
PF18320.7	Csc2	Csc2 Crispr
PF00313.29	CSD	'Cold-shock' DNA-binding domain
PF17876.8	CSD2	Cold shock domain
PF18059.7	Csd3_N	Csd3 N-terminal 
PF19425.5	Csd3_N2	Csd3 second domain
PF22401.2	Csd6-like_dimeriz	Cell-shape determining Csd6 N-terminal dimerization domain
PF23456.2	CSDE1	Cold shock domain-containing protein E1 CSD domain
PF23163.2	CSD_RNase_II	CSD-like barrel domain
PF08506.17	Cse1	Cse1
PF05337.17	CSF-1	Macrophage colony stimulating factor-1 (CSF-1)
PF27781.1	Csf1	CRISPR-associated protein Csf1
PF25038.1	Csf1_C	Csf1 family C-terminal region
PF21678.4	Csf1_N	Csf1 N-terminal region
PF27782.1	Csf3	CRISPR type IV associated protein Csf3
PF16965.12	CSG2	Ceramide synthase regulator
PF17334.8	CsgA	Minor curli fiber component A
PF10627.15	CsgE	Curli assembly protein CsgE
PF10614.15	CsgF	Type VIII secretion system (T8SS), CsgF protein
PF03783.21	CsgG	Curli production assembly/transport component CsgG
PF21112.5	CsgH	CsgH protein
PF18651.7	CshA_NR2	Surface adhesin CshA non-repetitive domain 2
PF19076.7	CshA_repeat	Surface adhesin CshA repetitive domain
PF08943.17	CsiD	CsiD
PF10972.14	CsiV	Peptidoglycan-binding protein, CsiV
PF21551.3	CSL4_N	Exosome complex component CSL4, N-terminal domain
PF24429.2	CSLinker	CSLinker motif
PF12539.14	Csm1	Chromosome segregation protein Csm1/Pcs1
PF18211.8	Csm1_B	Csm1 subunit domain B
PF18504.7	Csm1_N	Csm1 N-terminal domain
PF16834.12	CSM2	Shu complex component Csm2, DNA-binding
PF03750.19	Csm2_III-A	Csm2 Type III-A
PF17953.7	Csm4_C	CRISPR Csm4 C-terminal domain
PF22205.2	Csm6_6H	Csm6 6H domain
PF27499.1	CsmB	CsmB chlorosome envelope protein
PF21151.3	CSN1_C	COP9 signalosome complex subunit 1, C-terminal helix
PF21215.3	CSN3-like_C	COP9 signalosome complex subunit 3-like, C-terminal helix
PF18420.7	CSN4_RPN5_eIF3a	CSN4/RPN5/eIF3a helix turn helix domain
PF18323.7	CSN5_C	Cop9 signalosome subunit 5 C-terminal domain
PF18392.7	CSN7a_helixI	COP9 signalosome complex subunit 7a helix I domain
PF22061.3	CSN7_HB_subdom	CSN7 helical bundle subdomain
PF10075.16	CSN8_PSD8_EIF3K	CSN8/PSMD8/EIF3K family
PF27961.1	CSNKA2IP	Casein kinase II subunit alpha'-interacting protein
PF27545.1	CsoS1D_N	CsoS1D N-terminal domain
PF12288.14	CsoS2_M	Carboxysome shell peptide mid-region
PF08936.16	CsoSCA_C	Carboxysome Shell Carbonic Anhydrase, C-terminal
PF20686.3	CsoSCA_cat	Carboxysome Shell Carbonic Anhydrase, catalytic domain
PF20687.3	CsoSCA_N	Carboxysome Shell Carbonic Anhydrase, N-terminal
PF03860.22	Csp	Copper storage protein
PF18425.7	CspB_prodomain	Csp protease B prodomain
PF24578.2	CSPP1_C	Centrosome and spindle pole-associated protein 1, C-terminal
PF02599.22	CsrA	Global regulator protein family
PF16019.11	CSRNP_N	Cysteine/serine-rich nuclear protein N-terminus
PF12792.13	CSS-motif	CSS motif domain associated with EAL 
PF16831.10	CssAB	CS6 fimbrial subunits A and B, Coli surface antigen 6
PF20982.3	CSS_CxxC	CSS_CxxC domain
PF06002.18	CST-I	Alpha-2,3-sialyltransferase (CST-I)
PF02554.21	CstA	Carbon starvation protein CstA
PF16699.11	CSTF1_dimer	Cleavage stimulation factor subunit 1, dimerisation domain
PF14327.12	CSTF2_hinge	Hinge domain of cleavage stimulation factor subunit 2
PF14304.12	CSTF_C	Transcription termination and cleavage factor C-terminal
PF27900.1	CSTPP1_N	CSTPP1 N-terminal domain
PF21069.3	Csx12	CRISPR-associated endonuclease Cas9 alpha-helical lobe
PF22230.2	Csx1_CARF	CRISPR system endoribonuclease Csx1, CARF domain
PF09455.17	Csx1_HEPN	CRISPR system endoribonuclease Csx1, HEPN domain
PF27077.1	CsxA	Exosporium protein A
PF27268.1	CsxB	Exosporium protein B
PF23602.2	CS_DNAAF11_C	Dynein axonemal assembly factor 11-like, CS domain
PF24683.2	CT021	CT021 protein
PF22087.2	CT0912-like_C	CT0912-like, C-terminal domain
PF24481.3	CT398_CC	CT398-like coiled coil hairpin domain
PF15623.12	CT47	Cancer/testis gene family 47
PF04442.20	CtaG_Cox11	Cytochrome c oxidase assembly protein CtaG/Cox11
PF28158.1	CTB	Cyanobacterial tandem bacteriocin
PF15489.12	CTC1	CST, telomere maintenance, complex subunit CTC1
PF15491.12	CTC1_2	CST, telomere maintenance, complex subunit CTC1
PF12815.13	CTD	Spt5 C-terminal nonapeptide repeat binding Spt4
PF20276.4	CTD1	C-terminal domain 1 of the ABC-three component (ABC-3C) systems
PF20275.4	CTD10	C-terminal domain 10 of the ABC-three component (ABC-3C) systems
PF20277.4	CTD11	C-terminal domain 11 of the ABC-three component (ABC-3C) systems
PF20279.4	CTD12	C-terminal domain 12 of the ABC-three component (ABC-3C) systems
PF20278.4	CTD2	C-terminal domain 2 of the ABC-three component (ABC-3C) systems
PF20395.4	CTD3	C-terminal domain 3 of the ABC-three component (ABC-3C) systems
PF20280.5	CTD4	C-terminal domain 4 of the ABC-three component (ABC-3C) systems
PF20281.4	CTD5	C-terminal domain 5 of the ABC-three component (ABC-3C) systems
PF20282.4	CTD6	C-terminal domain 6 of the ABC-three component (ABC-3C) systems
PF20283.4	CTD7	C-terminal domain 7 of the ABC-three component (ABC-3C) systems
PF20284.3	CTD8	C-terminal domain 8 of the ABC-three component (ABC-3C) systems
PF20285.4	CTD9	C-terminal domain 9 of the ABC-three component (ABC-3C) systems
PF13959.12	CTE_SPB4	ATP-dependent rRNA helicase SPB4-like, C-terminal extension
PF23119.1	CTE_TERT	Telomerase reverse transcriptase, CTE domain
PF22463.3	Ctf19_RWD1	Ctf19, first RWD domain
PF22462.3	Ctf19_RWD2	Ctf19, second RWD domain
PF20946.3	Ctf4_C	DNA polymerase alpha-binding protein Ctf4, C-terminal domain
PF09696.16	Ctf8	Ctf8
PF00859.24	CTF_NFI	CTF/NF-I family transcription modulation region
PF14262.13	Cthe_2159	Carbohydrate-binding domain-containing protein Cthe_2159
PF25815.1	CTHRC1_C	CTHRC1, C-terminal domain
PF06934.17	CTI	Fatty acid cis/trans isomerase (CTI)
PF10482.15	CtIP_N	Tumour-suppressor protein CtIP N-terminal domain
PF12243.15	CTK3	CTD kinase subunit gamma CTK3
PF12350.14	CTK3_C	CTD kinase subunit gamma CTK3 C-terminus
PF10607.15	CTLH	CTLH/CRA C-terminal to LisH motif domain
PF23138.2	CTLH_Armc9	Armc9, CTLH-like domain
PF27829.1	Ctm1	Cytochrome c lysine N-methyltransferase 1
PF07863.17	CtnDOT_TraJ	Homologues of TraJ from Bacteroides conjugative transposon
PF08347.17	CTNNB1_binding	N-terminal CTNNB1 binding
PF08216.18	CTNNBL	Catenin-beta-like, Arm-motif containing nuclear
PF01982.23	CTP-dep_RFKase	Domain of unknown function DUF120
PF22694.2	CtpB_N-like	Activating protease CtpB N-terminal domain
PF06418.21	CTP_synth_N	CTP synthase N-terminus
PF01148.26	CTP_transf_1	Cytidylyltransferase family
PF02348.26	CTP_transf_3	Cytidylyltransferase
PF01467.33	CTP_transf_like	Cytidylyltransferase-like
PF04145.21	Ctr	Ctr copper transporter family
PF05848.18	CtsR	CtsR N-terminal HTH domain
PF15729.12	CTSRT	Cation channel sperm-associated targeting subunit tau
PF17727.7	CtsR_C	CtsR C-terminal dimerization domain
PF18244.7	CttA_N	Cellulose-binding protein CttA N-terminal domain
PF23681.2	CTT_SPB4	ATP-dependent rRNA helicase SPB4-like, C-terminal tail
PF10288.15	CTU2	Cytoplasmic tRNA 2-thiolation protein 2
PF06922.16	CTV_P13	Citrus tristeza virus P13 protein
PF04808.17	CTV_P23	Citrus tristeza virus (CTV) P23 protein 
PF07184.16	CTV_P33	Citrus tristeza virus P33 protein
PF06706.17	CTV_P6	Citrus tristeza virus 6-kDa protein
PF27743.1	CTXL_C	Cephalotoxin-like C-terminal domain
PF27742.1	CTXL_M	Cephalotoxin-like middle helical domain
PF16710.11	CTXphi_pIII-N1	N-terminal N1 domain of Vibrio phage CTXphi pIII
PF07459.17	CTX_RstB	CTX phage RstB protein
PF17435.7	CT_584-like	CT_584-like
PF02626.21	CT_A_B	Carboxyltransferase domain, subdomain A and B 
PF02682.22	CT_C_D	Carboxyltransferase domain, subdomain C and D
PF17563.7	Cu	Cupiennin
PF11617.14	Cu-binding_MopE	Putative metal-binding motif
PF00394.29	Cu-oxidase	Multicopper oxidase
PF07731.21	Cu-oxidase_2	Multicopper oxidase
PF07732.22	Cu-oxidase_3	Multicopper oxidase
PF02578.21	Cu-oxidase_4	Multi-copper polyphenol oxidoreductase laccase
PF01082.26	Cu2_monooxygen	Copper type II ascorbate-dependent monooxygenase, N-terminal domain
PF03712.21	Cu2_monoox_C	Copper type II ascorbate-dependent monooxygenase, C-terminal domain
